0;1504;832
1;placeholder;0;896;3584;64
1;placeholder;-1760;-256;64;2240
1;placeholder;-1760;-256;64;2240
1;placeholder;1760;-256;64;2240
1;placeholder;544;512;576;64
1;placeholder;-256;192;576;64
1;placeholder;-896;-160;576;64
1;placeholder;-32;-608;128;64
1;placeholder;576;-832;128;64
1;placeholder;1120;-1056;128;64
1;placeholder;224;-1248;64;64
1;placeholder;-704;-1440;64;64
1;placeholder;-192;-1728;64;64
1;placeholder;-192;-1728;64;64
1;placeholder;768;-1728;64;64
1;placeholder;256;-2048;64;256
1;placeholder;-192;-2464;128;64
1;placeholder;-192;-2464;128;64
1;placeholder;-544;-2624;256;64
1;placeholder;-1760;-2272;64;1792
1;placeholder;1760;-2272;64;1792
2;placeholder2;544;512;704;192
3;-960;-224
3;224;-1312
3;256;-2208
3;-576;-2688
