0;224;-1088
1;placeholder;-1536;-2048;64;1600;1;False
1;placeholder;1408;-2048;64;1600;1;False
1;placeholder;1216;-1664;320;64;1;False
1;placeholder;-1344;-1536;320;64;1;False
1;placeholder;-1120;-2688;256;64;1;False
1;placeholder;-1536;-3520;64;1344;1;False
1;placeholder;1408;-3520;64;1344;1;False
1;placeholder;0;-4192;128;64;1;False
1;placeholder;192;-4192;128;64;1;False
1;placeholder;-1536;-4928;64;1472;1;False
1;placeholder;1408;-4928;64;1472;1;False
1;placeholder;-1536;-6400;64;1472;1;False
1;placeholder;1408;-6400;64;1472;1;False
1;placeholder;1408;-7872;64;1472;1;False
1;placeholder;-1536;-7872;64;1472;1;False
1;placeholder;-896;-4704;576;64;1;False
1;placeholder;352;-5120;320;64;1;False
1;placeholder;1248;-5568;256;64;1;False
1;placeholder;160;-5920;320;64;1;False
1;placeholder;1216;-6336;320;64;1;False
1;placeholder;-1184;-7232;512;64;1;False
1;placeholder;32;-7712;320;64;1;False
1;placeholder;1408;-8960;64;704;1;False
1;placeholder;-1536;-8960;64;704;1;False
1;placeholder;-896;-9280;1216;64;1;False
1;placeholder;320;-9280;1216;64;1;False
1;placeholder;1152;-9280;448;64;1;False
1;placeholder;1184;-8960;512;64;1;False
1;placeholder;-1536;-1088;64;192;1;False
1;placeholder;-1280;-1024;448;64;1;False
1;placeholder;-832;-1024;448;64;1;False
1;placeholder;-384;-1024;448;64;1;False
1;placeholder;64;-1024;448;64;1;False
1;placeholder;512;-1024;448;64;1;False
1;placeholder;960;-1024;448;64;1;False
1;placeholder;1312;-1024;256;64;1;False
1;placeholder;1408;-1120;64;128;1;False
1;placeholder;1408;-1216;64;64;1;False
1;placeholder;-1536;-1216;64;64;1;False
1;placeholder;1280;-8128;192;64;1;False
1;placeholder;-1376;-6208;256;64;1;False
1;placeholder;320;-2080;576;64;1;False
1;placeholder;1088;-3200;256;64;1;False
1;placeholder;-992;-3552;384;64;1;False
1;placeholder;160;-3328;384;64;1;False
2;placeholder;-576;-1888;192;64;1;140;3;False
2;placeholder;896;-2560;320;64;1;180;1;False
2;placeholder;-192;-6560;320;64;1;100;1;False
5;0;placeholder;-64;-960;64;64
5;0;placeholderTeleport;1056;-5568;128;64
5;1;placeholder;-1376;-2688;256;64
5;1;placeholder;960;-9120;64;256
5;2;placeholder;-1088;-8128;512;64;False;50
5;3;placeholder;640;-8832;448;64
5;3;placeholder;448;-3328;192;64
5;4;placeholderTeleport;96;-4192;64;64
7;1280;-8192;player1
6;1344;-9024;64;64
